硬碰硬	aaaf
主動脉	kmwk
分贓	kmwk
分句	kmwl
分則	kmwm
分腿	kmwn
分賬	kmwp
主動脈	kmwr
分册	kmww
頒證	kmxb
分說	kmxk
分設	kmxl
分説	kmxq
分詞	kmxt
分體	kmxy
分冊	kmyc
分配	kmye
分票	kmyj
分内	kmyr
貧農	kmys
分內	kmyu
餘秋雨	kmyv
分制	kmyy
飽漢不知餓漢飢	knak
公曆	knam
良母	knam
永磁	knaq
公路	knat
永不	knau
感激不盡	knav
公轉	knbb
公車	knbj
公費	knbk
公尺	knbk
公輸	knbr
公帑	kncb
翁媼	kncd
公房	knch
翁姑	kncj
翁媪	kncj
良好	knck
公交	knck
成活率	kncn
公畜	kncn
威海市	kncp
公敵	kncq
翁婿	knct
公舉	kndd
公出	kndd
公開	kndf
良師	kndf
公德	kndg
公園	kndh
公國	kndk
公關	kndn
永樂	kndn
公版	kndr
良將	kndw
公假	kneb
公選	knee
公債	kneh
公佈	knei
公仔	knek
公雞	knen
公爵	knep
公僕	kneu
公休	kneu
永修	kneu
公民	knex
饑民	knex
良民	knex
公信	knex
公正	knfa
公推	knfe
孤注一擲	knff
公擔	knfh
頌揚	knfj
公元	knfl
公投	knfl
公攤	knfs
公管	kngi
公章	kngj
公幹	kngj
公立	kngl
公衆	kngp
公辦	kngs
公升	kngs
良策	kngu
永新	kngu
預決算	kngw
公考	knhd
公文	knhe
良方	knhf
良多	knhh
公款	knhj
良辰吉日	knhj
公地	knhj
永久	knhk
良久	knhk
永遠	knhl
公報	knhq
永嘉	knhs
公害	knib
良友	knib
公安	knic
永安	knic
公家	knig
公審	knig
良家	knig
公冶	knin
良宵	knio
永寧	knir
永存	kniu
公寓	kniv
公有	kniw
公狗	kniw
主治醫師	knjd
永福	knjf
公社	knjh
良醫	knjj
良知	knjl
良日	knjr
永珍	knjr
公示	knjs
公理	knjv
公明	knjw
公映	knjy
公了	knke
公務	knkg
良才	knkg
公孫	knkg
良鄉	knkg
公式	knki
公館	knki
公主	knkj
飽漢子不知餓漢子飢	knkk
公事	knkl
公分	knkm
公公	knkn
饞涎欲滴	knkn
饑饉	knks
公爹	knks
公子	knkz
公職	knlg
公聊	knlk
公器	knll
良品	knll
感測器	knll
永别	knls
永別	knlw
公稱	knme
公積	knmh
良種	knmm
公私	knmn
公廁	knmw
公決	knnb
公婆	knnb
良辰	knnc
永濟	knnc
公允	knnd
公海	knng
公法	knnh
昏沉沉	knnh
永清	knnh
良深	knnh
公演	knni
孟婆湯	knnj
永州	knnl
公斷	knnn
公派	knnr
良港	knns
公釐	knnt
公測	knnw
感激涕零	knny
餘波未平	knny
良緣	knoa
永續	knoh
公約	know
公網	knoy
永豐	knpb
公眾	knpe
公署	knph
分水嶺	knpr
公道	knqi
公差	knqi
公糧	knqj
公判	knqj
良辰美景	knqj
公益	knqk
飴糖	knqm
公營	knqq
良善	knqq
公羊	knqy
良人	knre
永恆	knrf
公會	knrf
公憤	knrg
良心	knri
公斤	knrj
永駐	knrk
良馬	knrm
良駒	knrw
良性	knry
良藥	knsd
永葆	knse
饑荒	knsh
永世	knsi
公墓	knsj
良苦	knsj
公共	knsk
感染力	knsl
公用	knsy
公司	kntf
公函	kntn
公鑰	kntr
公頃	knua
良材	knuk
良機	knun
飲水機	knun
公權	knus
公比	knuu
公鴨	knvd
公堂	knvh
公里	knvl
飲水思源	knvn
良田	knvt
公服	knwa
永眠	knwe
公然	knwi
孟浩然	knwi
公股	knwl
良朋	knww
公證	knxb
永訣	knxb
頌讀	knxh
頌歌	knxl
公設	knxl
良訓	knxl
公認	knxm
公訴	knxr
公論	knxr
頌詞	knxt
良言	knxy
公告	knyl
公牛	knyn
公平	knyq
永生	knys
公物	knyw
分泌物	knyw
公西	knyx
公制	knyy
飽經憂患	koal
卻之不恭	koas
鄉規民約	koeo
為之一振	koff
成績表	kohc
公之於衆	kohg
公之於眾	kohp
公之於世	kohs
八小時	kojh
孔夫子	kokz
成績單	koll
飽經風霜	koly
感光度	koms
飽經滄桑	konb
劉少奇	koox
迎春花	kose
分光鏡	kotg
永結同心	koyr
欲罷不能	kpan
孟夏	kpaw
孟軻	kpbx
子虚烏有	kpdi
子虛烏有	kpdi
為虎作倀	kpee
為虎傅翼	kpev
餓虎撲食	kpfk
分隔符	kpge
分崩離析	kphu
孤陋寡聞	kpid
預處理	kpjv
孟子	kpkz
孟秋	kpmq
孟婆	kpnb
孟浪	kpnk
孟州	kpnl
孟津	kpnv
為虎添翼	kpnv
孟春	kpoj
孟買	kppw
慾壑難填	kpsh
預防針	kptg
孟冬	kpti
昏迷不醒	kqay
餅圖	kqdl
分道揚鑣	kqft
餅乾	kqgj
食前方丈	kqhi
事半功倍	kqie
父慈子孝	kqkh
八榮八耻	kqkl
八榮八恥	kqkl
餅子	kqkz
飼養員	kqlw
子弟兵	kqrf
公益金	kqtj
餅鐺	kqtv
慾火焚身	kqui
餅肥	kqwe
劉熾平	kqyq
飯碗	krai
卻步	krao
卻不	krau
飯轍	krbc
卻又	krbo
飯局	krbt
卻被	krcb
餘姚	krcd
餘裕	krck
欲與	krdd
為情所困	krdd
為人師表	krdh
飯後	krdn
餘閒	krdw
餘興	krdy
為人作嫁	krec
戎馬倥傯	kree
卻仍	kree
餘傑	kreh
為人民服務	krek
柔情似水	kren
為人民	krex
欲求	krfn
戎馬一生	krfy
郎情妾意	krgg
餘年	krgj
餘音	krgj
餘韻	krgj
餘部	krgl
感慨系之	krgo
餘毒	krha
成人教育	krhc
餘地	krhj
谷地	krhj
餘款	krhj
餘熱	krhk
餘外	krhp
慾望	krhw
事必躬親	krig
柔情蜜意	krig
孫悟空	krii
餘額	krit
卻在	kriu
餘存	kriu
卻有	kriw
餘缺	krjb
餘暇	krjb
卻也	krje
飯量	krjf
卻是	krjf
餘量	krjf
餘暉	krjh
戒驕戒躁	krka
餘威	krkf
飯館	krki
主人公	krkn
主人翁	krkn
飯食	krks
餘留	krkv
餘風	krlf
餘數	krlg
予人口實	krli
餘味	krln
食人魔	krmd
飯香	krmj
谷底	krmk
飯廳	krml
飯店	krmp
餘慶	krmt
餘波	krnb
餘溫	krnd
餘温	krnj
卻能	krnw
欲絶	kroh
餘光	krol
餘輝	krol
欲絕	krom
成人之美	kroq
飯桌	krpj
為人處世	krps
飯糰	krqd
飯粒	krqg
慾火	krqh
餘糧	krqj
餘燼	krqv
飯前	krqw
慾念	krrk
餘悸	krrm
飯盒	krrp
感今懷昔	krrs
飯莊	krsd
餘孽	krsd
飯菜	krse
感慨萬端	krsg
感情用事	krsk
盛情難卻	krsk
餘力	krsl
感慨萬千	krsm
飯鋪	krta
飯錢	krtk
餘錢	krtk
飯鍋	krtx
飯桶	krub
飯卡	krup
感情上	krus
飯堂	krvh
餘黨	krvv
感人肺腑	krww
卻讓	krxc
卻說	krxk
谷歌	krxl
餘切	krxm
卻説	krxq
餘下	krxx
感性認識	krxx
卻要	kryc
主情造意	kryg
飯票	kryj
餘震	kryn
餘生	krys
良莠不齊	ksac
寸草不留	ksak
父母	ksam
寸草不生	ksay
欲蓋彌彰	ksbg
戒尺	ksbk
爹孃	kscc
父女	kscn
食齋	kscq
爹媽	kscr
爸媽	kscr
主力艦	ksdj
父皇	ksdj
戒律	ksdv
爺們	ksed
孤苦伶仃	ksee
爺倆	ksef
父愛	kseh
戒備	kses
戒條	kseu
迎難而上	kseu
斧正	ksfa
孟加拉國	ksfd
孟加拉	ksfg
斧頭	ksfl
戒掉	ksfp
戒指	ksfu
食指	ksfu
食管	ksgi
父系	ksgo
父親	ksgu
戒毒	ksha
主力軍	kshb
公共場所	kshd
戒色	kshe
才華超衆	kshg
爹地	kshj
永葆青春	ksho
食素	ksho
才華超眾	kshp
父執	kshq
父老	kshu
食宿	ksie
孫燕姿	ksih
食客	ksit
孤芳自賞	ksiv
食量	ksjf
食鹽	ksjg
父王	ksjw
餚饌	kske
食分	kskm
食慾	kskr
爸爸	ksks
爺爺	ksks
爹爹	ksks
公用事業	ksku
父子	kskz
斧子	kskz
父兄	ksld
食品	ksll
戒嚴	ksll
戒刀	ksmd
印花稅	ksmk
食療	ksmo
印花税	ksmq
食糜	ksmq
威脅利誘	ksmx
公共汽車	ksnb
食油	ksnb
主觀能動性	ksnr
飲用水	ksns
戒酒	ksny
寸草春暉	ksoj
欲加之罪	ksop
斧削	ksow
戒網	ksoy
戒除	kspr
釜山	ksps
食肆	kspv
食道	ksqi
父類	ksqi
食糧	ksqj
食糖	ksqm
戒煙	ksqy
戒心	ksri
戒懼	ksrw
食性	ksry
食用菌	kssd
戒菸	kssh
良藥苦口	kssl
父蔭	kssp
良苦用心	kssr
食用	kssy
劉若英	kssy
父輩	ksub
父本	ksuf
才華橫溢	ksun
斧鑿	ksuq
父權	ksus
食相	ksuw
食堂	ksvh
食具	kswk
公共課	ksxj
食譜	ksxq
食言	ksxy
食肉	ksyr
食物	ksyw
盛夏	ktaw
劉鄧	ktbf
貧鈾彈	ktbl
劉邦	ktbp
盛怒	ktcb
成衣	ktcc
成夜	ktce
盛衰	ktcf
成熟	ktck
成效	ktck
成交	ktck
成婚	ktck
飼育	ktcn
成就	ktco
成團	ktdb
盛譽	ktdd
盛舉	ktdd
盛開	ktdf
盛裝	ktdh
盛行	ktdj
成行	ktdj
才疏學淺	ktdn
成因	ktdo
成片	ktdp
盛傳	kteb
成佛	kteb
成雙	ktee
成倍	kteg
成像	kteh
成爲	ktek
成份	ktek
成仙	ktep
劉備	ktes
成天	ktfo
成型	ktfs
成形	ktfs
成批	ktfu
劉麗	ktfy
盛産	ktgg
盛筵	ktgg
成年	ktgj
盛年	ktgj
盛意	ktgj
成章	ktgj
成立	ktgl
盛氣	ktgq
成親	ktgu
成龍	ktgw
盛產	ktha
劉軍	kthb
成塊	kthd
成考	kthd
成堆	kthe
成文	kthe
成色	kthe
成都	kthj
成教	kthk
成名	kthl
盛名	kthl
成趣	kthl
盛放	ktht
成宿	ktie
成家	ktig
劉宏	ktii
盛宴	ktij
成字	ktik
盛况	ktil
成功	ktis
盛景	ktjc
劉曉	ktjh
劉玉	ktjk
劉禪	ktjl
成日	ktjr
成果	ktju
劉明	ktjw
成了	ktke
成才	ktkg
成為	ktkk
盛事	ktkl
成事	ktkl
成分	ktkm
盛飯	ktkr
孜孜	ktkt
子承父業	ktku
飼餵	ktkv
成風	ktlf
成鳳	ktlf
成數	ktlg
成品	ktll
成器	ktll
成災	ktlq
成員	ktlw
成癖	ktmb
劉秀	ktme
盛季	ktmk
成癮	ktmp
盛唐	ktmv
劉海	ktng
成法	ktnh
劉濤	ktnh
盛演	ktni
盛況	ktnl
成活	ktnm
盛澤	ktnp
劉洋	ktnq
盛滿	ktns
盛大	ktod
成績	ktoh
劉紅	ktoi
成套	ktop
成規	ktow
成約	ktow
成長	ktpc
飼料	ktqi
良金美玉	ktqj
飼養	ktqo
劉燁	ktqs
劉翔	ktqv
成命	ktra
成人	ktre
盛會	ktrf
盛情	ktrh
成心	ktri
成全	ktrj
鄉鎮企業	ktru
成性	ktry
成藥	ktsd
盛世	ktsi
劉歡	ktsl
成蔭	ktsp
劉華	ktss
盛銷	ktto
成本	ktuf
成材	ktuk
成對	ktuq
成林	ktuu
成群	ktvg
劉君	ktvg
成羣	ktvg
成書	ktvh
劉建	ktvj
成蟲	ktvv
成眠	ktwe
成周	ktwh
孜然	ktwi
成見	ktwj
成敗	ktwt
成册	ktww
成語	ktxf
成說	ktxk
成説	ktxq
劉謙	ktxq
盛讚	ktxy
成冊	ktyc
盛典	ktys
為期不遠	kuah
飯來張口	kubl
蹙眉	kubw
分析師	kudf
為非作歹	kuef
孤標傲世	kues
盛極一時	kufj
事業部	kugl
分析家	kuig
蹙額	kuit
主檢視	kujw
慼慼	kuku
威斯康星	kumj
公檢法	kunh
迎來送往	kuqd
事業心	kuri
為叢驅雀	kuro
孤枕難眠	kusw
成本核算	kuug
主機板	kuur
欲速則不達	kuwh
成本覈算	kuyg
留步	kvao
留足	kvaz
留連	kvbo
餵奶	kvce
留到	kvcm
留歸	kvda
留白	kvdb
留待	kvdh
留得	kvdj
留門	kvdm
留鳥	kvdn
遛鳥	kvdn
留學	kvds
郎舅	kvdv
留傳	kveb
留作	kveg
予以	kvek
留住	kvek
留任	kvem
蝕化	kveu
留意	kvgj
留辦	kvgs
郎貓	kvgs
朗聲	kvhb
留起	kvhe
留名	kvhl
朗逸	kvhl
蝕刻	kvhm
孤男寡女	kvic
留宿	kvie
留空	kvii
留守	kvik
郎猫	kvis
留客	kvit
留存	kviu
留在	kviu
留有	kviw
遛狗	kviw
餵狗	kviw
留神	kvjb
留影	kvjc
朗照	kvjm
留日	kvjr
朗星	kvjy
遛早	kvjz
留了	kvke
鄉里鄉親	kvkg
餵食	kvks
留成	kvkt
朗朗	kvkv
餵飽	kvkw
留取	kvlb
留職	kvlg
食蟻獸	kvll
郎中	kvlu
朗科	kvmi
留香	kvmj
留底	kvmk
留種	kvmm
留痕	kvmn
留海	kvng
留洋	kvnq
留滯	kvns
分界線	kvod
留級	kvoe
成群結夥	kvoj
成羣結夥	kvoj
成群結隊	kvop
成羣結隊	kvop
留給	kvor
留置	kvpg
留隊	kvpq
留燈	kvqb
餵養	kvqo
留美	kvqo
留着	kvqw
予人	kvre
留情	kvrh
留心	kvri
留念	kvrk
留駐	kvrk
餵馬	kvrm
遛馬	kvrm
留難	kvsf
留著	kvsh
孤掌難鳴	kvsl
留蘇	kvsv
留用	kvsy
留英	kvsy
留校	kvuc
鷸蚌相爭	kvue
蝕本	kvuf
鷸蚌相持	kvuf
鷸蚌相爭漁翁得利	kvum
鷸蚌相爭漁人得利	kvum
才盡其用	kvus
郎君	kvvg
孟嘗君	kvvg
留點	kvvp
郎當	kvvv
朗誦	kvxb
朗讀	kvxh
留戀	kvxo
遛彎	kvxo
朗訊	kvxt
留下	kvxx
留言	kvxy
柔腸百結	kwao
飢腸轆轆	kwbb
或然率	kwcn
成敗得失	kwdg
飽受	kweh
八月份	kwek
孑然一身	kwfi
八股文	kwhe
成敗在此一舉	kwid
飽暖	kwje
飽覽	kwjg
貿易	kwjw
柔腸寸斷	kwkn
孢子	kwkz
飽吸	kwle
飽嗝	kwlf
飽和	kwml
成敗利鈍	kwmt
戊辰	kwnc
飽滿	kwns
貧賤之交	kwoc
飽經	kwof
飽餐	kwph
飽含	kwrk
或然性	kwry
飽蘸	kwsy
子目錄	kwta
飽嘗	kwvu
貿然	kwwi
飽讀	kwxh
永誌不忘	kxah
昏厥	kxaq
欲言又止	kxba
昏亂	kxeb
昏倒	kxec
預設值	kxeg
感謝信	kxex
昏頭	kxfl
留言簿	kxgn
氏族	kxhg
事過境遷	kxhy
預言家	kxig
昏暗	kxjg
昏暈	kxjh
昏星	kxjy
公説公有理婆説婆有理	kxkj
公說公有理婆說婆有理	kxkj
昏聵	kxll
貧下中農	kxly
昏庸	kxmv
昏沉	kxnh
昏濁	kxnp
昏迷	kxqo
昏花	kxse
昏蒙	kxsh
昏黃	kxsi
留言本	kxuf
留言板	kxur
昏君	kxvg
昏黑	kxvh
昏眩	kxwc
昏睡	kxwg
公諸同好	kxyc
預告片	kydp
食肉寢皮	kyib
感同身受	kyie
子醜寅卯	kyik
主要是	kyjf
主要矛盾	kykr
永生永世	kyks
孺子	kykz
食物中毒	kylh
分内之事	kyok
分內之事	kyok
公平合理	kyrj
感冒藥	kysd
食物鏈	kytb
孤雲野鶴	kyvh
孤零零	kyyr
子母	kzam
子路	kzat
子車	kzbj
子彈	kzbl
子夜	kzce
子房	kzch
子女	kzcn
子畜	kzcn
子婿	kzct
子兒	kzdd
子侄	kzec
子代	kzek
子爵	kzep
子集	kzeu
子民	kzex
子午	kzgg
子豬	kzgh
子音	kzgj
子囊	kzgl
子部	kzgl
子堤	kzhj
子城	kzhk
子項	kzia
子宮	kzil
子息	kzir
子時	kzjh
子曰	kzjv
子孫	kzkg
子嗣	kzly
子規	kzow
子網	kzoy
子虛	kzpd
子虚	kzpu
子弟	kzqb
子粒	kzqg
子類	kzqi
子道	kzqi
子金	kztj
子鍵	kztv
子棉	kzud
子機	kzun
子群	kzvg
子羣	kzvg
子書	kzvh
子句	kzwl
子目	kzwm
嘴硬	laaf
順路	laat
叩擊	labd
嘴軟	labh
順暢	labj
嘴皮	labp
三百六十行	lacd
三跪九叩	lacl
聽不到	lacm
哺育	lacn
順致	lact
嘴裏	lacv
嘴裡	lacv
順奸	lacy
喫不開	ladf
叩開	ladf
吃不開	ladf
順德	ladg
叩門	ladm
順從	ladr
嘴巴	laeb
嘎巴	laeb
口齒伶俐	laee
順便	laef
順位	laeg
哺乳	laek
喫不住	laek
吃不住	laek
順化	laeu
順民	laex
叩拜	laff
耶路撒冷	lafi
叩頭	lafl
嘴損	lafl
順天	lafo
順手	lafs
叩打	lafx
口不擇言	lafx
順延	laga
數碼管	lagi
順意	lagj
耻笑	lagm
中原逐鹿	lagm
順乎	lagq
順氣	lagq
嘴笨	lagu
順境	lahg
順勢	lahk
順達	lahq
嘴角	lahs
順次	laih
嘴邊	laii
數碼寶貝	laiw
順時	lajh
順昌	lajj
順祝	lajl
順理	lajv
叩響	lakg
嘴饞	lakh
喫不了兜着走	lakh
吃不了兜着走	lakh
吃不了兜著走	lakh
喫不飽	lakw
吃不飽	lakw
嘎子	lakz
順子	lakz
嘎嘎	lala
喫不喫	lalb
順耳	lale
順風	lalf
啃噬	lalg
吃不吃	lalg
聽不聽	lalj
喝不喝	lalj
嘴嚴	lall
中不中	lalu
順口	lalv
順應	lame
喫不透	lame
吃不透	lame
順序	lamk
口蹄疫	laml
順和	laml
順利	lamm
口不應心	lamr
嘴甜	lams
中石油	lanb
順流	lanc
喫不準	lane
吃不準	lane
數不清	lanh
耻辱	lank
順溜	lank
嘴唇	lanl
順治	lann
喫不消	lano
吃不消	lano
順水	lans
嘴脣	lanw
三歲小孩	laok
嘴尖	laoo
史不絶書	laov
史不絕書	laov
順豐	lapb
呃逆	laqd
順遂	laqg
順義	laqg
順差	laqi
叩首	laqi
順道	laqi
順導	laqi
哺養	laqo
順着	laqw
嘴快	larb
順心	lari
順馳	larj
聽不懂	lars
順帶	lasf
順著	lash
嘴刁	latf
哈瓦那	latj
順承	latn
順鑫	latt
喫不來	laul
吃不來	laul
數不上	laus
叩上	laus
順當	lavv
順服	lawa
三足鼎立	lawg
嘎然	lawi
叩見	lawj
聽不見	lawj
順腳	lawk
數不勝數	lawl
順眼	lawn
嘴臉	lawr
耻骨	laxg
喘不過氣	laxg
順訪	laxh
叩謝	laxi
只不過	laxo
順變	laxo
叩診	laxr
鳴不平	layq
喫軟不喫硬	lbaa
吃軟不吃硬	lbaa
取碼	lbar
三輪車	lbbj
聚居	lbbj
取車	lbbj
喫屎	lbbq
喫奶	lbce
喫好	lbck
取到	lbcm
喫齋	lbcq
聚齊	lbcq
逞強好勝	lbcw
吹彈得破	lbda
取鬧	lbdc
取出	lbdd
取得	lbdj
吳邦國	lbdk
聘問	lbdl
取回	lbdl
嗓門	lbdm
取樂	lbdn
喫的	lbdw
取向	lbdx
口惠而實不至	lbec
取值	lbeg
取代	lbek
聘爲	lbek
喫住	lbek
取保	lbel
聘任	lbem
喫雞	lben
聚焦	lbeq
聚集	lbeu
喫貨	lbeu
取貨	lbeu
取信	lbex
取件	lbey
聚攏	lbfg
串通一氣	lbfg
聚殲	lbfh
喫勁	lbfl
聚頭	lbfl
喫掉	lbfp
取捨	lbfr
三局兩勝	lbfw
嗓音	lbgj
三叉戟	lbgj
取笑	lbgm
聚衆	lbgp
中轉站	lbgp
聚氣	lbgq
娶親	lbgu
喫辣	lbgu
娶妻	lbgv
嘻皮笑臉	lbgw
鳳尾竹	lbgz
喫壞	lbhc
哈尼族	lbhg
取款	lbhj
取名	lbhl
喫素	lbho
取走	lbhz
取巧	lbid
喫完	lbif
取寵	lbig
喫穿	lbij
聚寶	lbij
喫客	lbit
聚在	lbiu
取自	lbiz
喫緊	lbjb
取景	lbjc
取暖	lbje
取現	lbjw
聘禮	lbjy
聚星	lbjy
喫了	lbke
啜飲	lbkh
聘為	lbkk
喫飯	lbkr
喫食	lbks
聚成	lbkt
喫飽	lbkw
嗓子	lbkz
喔喔	lblb
聚聚	lblb
單引號	lbld
囑咐	lble
噼啪	lblf
呢喃	lblg
喫喝	lblj
聯軸器	lbll
呻吟	lblr
呢噥	lbly
喫透	lbme
聚積	lbmh
喫癟	lbmi
喫香	lbmj
喫剩	lbmq
喫重	lbmv
取決	lbnb
喫準	lbne
啜泣	lbng
取法	lbnh
喫法	lbnh
取消	lbno
喫水	lbns
取水	lbns
聚能	lbnw
取締	lboc
中軸線	lbod
取經	lbof
聚結	lboh
呢絨	lbok
聚光	lbol
喫光	lbol
聘約	lbow
取之	lboz
喫虧	lbpe
聚眾	lbpe
聚餐	lbph
喫罪	lbpu
呢帽	lbpy
取義	lbqg
聚首	lbqi
取道	lbqi
聚類	lbqi
聚糖	lbqm
喫着	lbqw
喫慣	lbra
取反	lbrb
聚怪	lbrb
聯繫人	lbre
喫人	lbre
聚會	lbrf
聚合	lbrh
取悅	lbrk
耳軟心活	lbrn
取悦	lbrq
聚斂	lbrt
喫藥	lbsd
取藥	lbsd
喫菜	lbse
喫葷	lbsh
喫苦	lbsj
喫草	lbsj
吸引力	lbsl
喫力	lbsl
聚落	lbsn
喫驚	lbsw
聚散	lbsw
聘用	lbsy
取用	lbsy
聘金	lbtj
取錢	lbtk
取材	lbuk
取來	lbul
取整	lbul
取樣	lbuq
取其	lbuq
喫上	lbus
聘上	lbus
喫相	lbuw
聘期	lbuw
聘書	lbvh
喫點	lbvp
鳳尾魚	lbvv
喫魚	lbvv
聚賭	lbwh
聚財	lbwk
喫膩	lbwk
取勝	lbwq
聚脂	lbwu
取證	lbxb
囑託	lbxg
吹彈歌舞	lbxg
聘請	lbxh
喫請	lbxh
聚變	lbxo
喫過	lbxo
取過	lbxo
聚議	lbxq
取詞	lbxt
取下	lbxx
喫下	lbxx
囑告	lbyl
風輕雲淡	lbyn
取平	lbyq
喫肉	lbyr
喫醋	lbys
中專生	lbys
聚生	lbys
聚酯	lbyu
取物	lbyw
咬破	lcab
中高層	lcbq
三六九等	lccg
三姑六婆	lccn
聯交所	lcdr
三好學生	lcdy
咬傷	lceg
喫裏爬外	lceh
吃裏爬外	lceh
吃裡爬外	lceh
咬住	lcek
喫裏扒外	lcfh
咬死	lcfh
吃裏扒外	lcfh
吃裡扒外	lcfh
咬掉	lcfp
咬音	lcgj
啼笑	lcgm
吭氣	lcgq
吭聲	lchb
川軍	lchb
啼聲	lchb
聊齋志異	lchv
咬定	lcif
數九寒天	lcif
川資	lcih
咬字	lcik
咬牙	lcja
咬緊	lcjb
聖女果	lcju
唯女子與小人難養也	lckj
咬嘴	lcla
嚷嚷	lclc
哼哼	lclc
哼喞	lcld
嚎叫	lcld
啼叫	lcld
耳旁風	lclf
吭哧	lclh
哼哧	lclh
嘀咕	lclj
哼唱	lclj
啼哭	lcll
噼裏啪啦	lcll
嘰裏呱啦	lcll
噼裡啪啦	lcll
嘰裡呱啦	lcll
唯妙唯肖	lclo
哼哈	lclr
嘀嗒	lcls
哼唧	lclv
嚎啕	lclw
中顧委	lcmc
咬舌	lcms
啼泣	lcng
風高浪急	lcnh
川江	lcni
川渝	lcnr
耳熟能詳	lcnx
中高級	lcoe
川紅	lcoi
川劇	lcpg
中高階	lcpu
川北	lcqu
咬着	lcqw
哼着	lcqw
嚷着	lcqw
咬合	lcrh
川菜	lcse
吊襪帶	lcsf
咬著	lcsh
哼著	lcsh
嚷著	lcsh
三顧茅廬	lcsm
史努比	lcuu
中高檔	lcuv
川貝	lcwb
哼歌	lcxl
咬過	lcxo
唱高調	lcxw
咬下	lcxx
三好生	lcys
另闢蹊徑	ldad
嚴懲不貸	ldae
喞歪	ldaf
口出不遜	ldak
嚴懲不怠	ldan
號碼	ldar
耳聞不如目見	ldaw
聰慧	ldbb
叫屈	ldbd
另行通知	ldbj
叫車	ldbj
中國通	ldbs
號衣	ldcc
兄嫂	ldcd
號房	ldch
夙興夜寐	ldci
叫好	ldck
叫到	ldcm
聽得到	ldcm
兄妹	ldcn
中間商	ldcq
三街六巷	ldcs
嗓門兒	lddd
號牌	lddd
三從四德	lddd
叫出	lddd
叫牌	lddd
聖彼得堡	ldde
喫得開	lddf
吃得開	lddf
叫門	lddm
喫閉門羹	lddq
吃閉門羹	lddq
叫牀	lddu
叫停	ldec
叫作	ldeg
叫做	ldej
叫住	ldek
號爲	ldek
號段	ldel
叫雞	lden
叫價	ldey
三皇五帝	ldfc
饕餮	ldfh
風行一時	ldfj
叫勁	ldfl
號手	ldfs
聰敏	ldga
鳴笛	ldgb
嗤笑	ldgm
數學系	ldgo
叫真	ldgw
喞筒	ldgy
叫聲	ldhb
鳴聲	ldhb
鳴鼓	ldhg
鳴冤	ldhh
叫冤	ldhh
兄臺	ldhl
叫名	ldhl
叫賣	ldhp
號外	ldhp
三國志	ldhr
號角	ldhs
聖鬥士	ldhs
鳴放	ldht
單門獨户	ldic
中國工商銀行	ldid
單門獨戶	ldid
史學家	ldig
叫空	ldii
叫魂	ldin
呂布	ldip
中國工程院	ldip
口出狂言	ldix
耳聞是虚眼觀爲實	ldji
耳聞是虛眼觀為實	ldji
耳聞是虛眼觀爲實	ldji
嘚瑟	ldjj
中國區	ldjl
中國社會科學院	ldjp
數往知來	ldju
邋遢	ldjv
聰明	ldjw
唯所欲爲	ldke
中國式	ldki
唯所欲為	ldkk
號為	ldkk
咋回事	ldkl
喫閒飯	ldkr
喫白飯	ldkr
吃白飯	ldkr
吃閒飯	ldkr
吊兒郎當	ldkv
號子	ldkz
哪門子	ldkz
嗯呢	ldlb
叫嚷	ldlc
嗚咽	ldld
喞喞	ldld
號叫	ldld
叫號	ldld
嗚嗚	ldld
鳴叫	ldld
嗯嗯	ldld
嗥叫	ldld
嗤嗤	ldld
噢噢	ldld
咽喉	ldle
中國風	ldlf
嗚呼	ldlg
患得患失	ldlg
號數	ldlg
叫喚	ldlh
鳴唱	ldlj
叫喊	ldlk
叫駡	ldll
叫囂	ldll
號哭	ldll
嘚啵	ldln
咄嗟	ldlq
號啕	ldlw
中國科技大學	ldmd
號稱	ldme
號召	ldml
中國科學院	ldmp
叫座	ldmr
叫床	ldmu
叫法	ldnh
兄台	ldnl
呂梁	ldnm
喫得消	ldno
吃得消	ldno
三國演義	ldnq
中間派	ldnr
風行水上	ldnu
啤酒	ldny
單行線	ldod
叫絶	ldoh
叫春	ldoj
叫絕	ldom
叫陣	ldpb
兄長	ldpc
呂劇	ldpg
三門峽	ldpo
中國隊	ldpq
叫罵	ldpr
兄弟	ldqb
品學兼優	ldqe
叫道	ldqi
咽炎	ldqq
鳴炮	ldqw
數得着	ldqw
叫着	ldqw
中國人民銀行	ldrd
中國人民大學	ldrd
中間人	ldre
中國人	ldre
中國人民	ldre
叫人	ldre
鳴人	ldre
號兵	ldrf
别出心裁	ldrg
別出心裁	ldrg
中國人民解放軍	ldrh
鳴禽	ldrh
號令	ldrk
叫驢	ldrp
中國菜	ldse
風行草偃	ldse
叫菜	ldse
叫著	ldsh
數得著	ldsh
叫苦	ldsj
戰鬥力	ldsl
中國共産黨	ldsv
中國共產黨	ldsv
鳴鏑	ldtc
中國銀行	ldtd
鳴金	ldtj
鳴鑼	ldtp
單行本	lduf
中關村	lduk
叫來	ldul
聰穎	ldum
戰鬥機	ldun
單片機	ldun
鳴槍	ldur
叫板	ldur
數得上	ldus
别出機杼	lduu
別出機杼	lduu
風向標	lduy
中國建設銀行	ldvd
中國畫	ldvh
鳴蟬	ldvl
聽得見	ldwj
號脉	ldwk
號脈	ldwr
耳聞目睹	ldww
耳聞目見	ldww
鳴謝	ldxi
